,Unnamed: 0,Unnamed: 0.1,datetime,user_followers,polarity,subjectivity,date,sim_num,tweets_num,"('co', 106)","('http', 104)","('btc', 67)","('bitcoin', 66)","('crypto', 24)","('price', 17)","('eth', 13)","('hour', 10)","('binance', 8)","('ethereum', 8)"
0,0,0,2021-02-05,4548.698347107438,0.08865375802211678,0.26924731149900866,2021-02-05,108,5865,1736,1714,1181,1206,380,208,231,92,60,136
1,1,1,2021-02-06,5057.97528981086,0.08940578644628387,0.2546385853838942,2021-02-06,263,5646,3168,3144,2477,2287,574,446,448,176,130,174
2,2,2,2021-02-07,3971.0207920792077,0.1048785988580545,0.27846781627033096,2021-02-07,221,5102,3028,3000,1891,1854,579,414,368,175,148,183
3,3,3,2021-02-08,8519.301452355649,0.09476040439762536,0.2679163414975486,2021-02-08,426,4708,5178,5137,4535,4760,1122,571,440,247,212,242
4,4,4,2021-02-09,7326.9,0.09483882300011627,0.26952116282078803,2021-02-09,300,4651,4241,4196,3180,3253,641,543,456,275,176,227
5,5,5,2021-02-10,5535.3432624113475,0.0925236520965246,0.2705943976105308,2021-02-10,304,4521,3610,3570,2423,2422,596,492,363,271,165,198
6,6,6,2021-02-13,8050.737417943105,0.08257878511592946,0.2544920650769125,2021-02-13,175,4436,2317,2272,1702,1686,597,304,258,177,86,149
7,7,7,2021-02-14,3948.628336243453,0.1348550485122273,0.4100254982146335,2021-02-14,296,4388,3792,3750,2426,2449,625,472,364,280,825,187
8,8,8,2021-02-15,3189.845624596861,0.15614663528735392,0.4982572805180057,2021-02-15,313,4350,4572,4537,2396,2262,657,486,348,270,1569,188
9,9,9,2021-02-18,6682.184117125111,0.08590161710270394,0.2738961191335853,2021-02-18,180,4119,2181,2157,1653,1661,390,351,281,187,108,192
10,10,10,2021-02-19,5850.695863746959,0.08153988791899974,0.2686345117786356,2021-02-19,365,4039,4073,4032,3624,3728,755,538,430,295,250,278
11,11,11,2021-02-22,6608.0159932659935,0.08268945610184374,0.2727250632273425,2021-02-22,254,4011,3364,3336,2662,2521,535,532,363,223,148,210
12,12,12,2021-02-28,5663.648102815178,0.08047007295370212,0.2791949541091984,2021-02-28,127,4009,1543,1531,1299,1235,272,229,181,113,42,75
13,13,13,2021-03-11,5993.73732718894,0.08275856427238916,0.2405927707724941,2021-03-11,8,3952,199,198,185,178,39,41,14,17,5,12
14,14,14,2021-03-12,4234.498343104767,0.10043975914970754,0.27856014208174584,2021-03-12,324,3923,3911,3881,2910,2930,688,806,321,319,232,221
15,15,15,2021-04-05,3615.6850250341377,0.09630440893754506,0.2702587573252115,2021-04-05,147,3740,2203,2179,1589,1520,476,514,223,150,100,125
16,16,16,2021-04-06,3764.667292225201,0.10001928437960587,0.29774605762249834,2021-04-06,285,3730,3747,3710,2413,2388,742,1217,394,285,123,208
17,17,17,2021-04-07,3945.423867293885,0.10899261677498813,0.3018526587119065,2021-04-07,304,3564,3984,3956,2576,2376,689,1185,404,315,132,213
18,18,18,2021-04-08,4941.77834224599,0.11258827532390417,0.29738017833572594,2021-04-08,293,3525,3769,3720,2387,2495,655,896,362,325,129,196
19,19,19,2021-04-09,3928.76,0.08664626324914113,0.26816434197297445,2021-04-09,278,3475,3544,3509,2356,2308,596,753,360,325,100,183
20,20,20,2021-04-10,4745.023186237846,0.11247002606454784,0.289038869875288,2021-04-10,333,3278,3935,3893,2986,2873,799,1034,375,334,162,223
21,21,21,2021-04-11,4474.732712113781,0.11423710341617402,0.2947030777833872,2021-04-11,182,3030,2002,1977,1447,1370,353,481,212,190,116,114
22,22,22,2021-04-12,6935.830218068536,0.10338029555825487,0.3036417373010061,2021-04-12,133,2285,1967,1954,1323,1358,330,364,132,135,72,83
23,23,23,2021-04-17,3044.294294294293,0.13518486776820104,0.2801391395002504,2021-04-17,69,2254,258,252,436,398,253,113,98,57,54,58
24,24,24,2021-04-18,3749.5594732370423,0.0999923742962054,0.3100269294677117,2021-04-18,788,2197,3340,3264,6438,5655,2129,1282,1163,488,654,773
25,25,25,2021-04-19,4938.191065792668,0.09550363935642814,0.3114176192857926,2021-04-19,643,2039,3571,3453,5547,4864,2007,1201,1181,466,534,696
26,26,26,2021-04-20,4719.201230628988,0.10152622521178796,0.3112444743979885,2021-04-20,686,1926,3840,3764,5889,5094,2081,1220,1302,458,540,698
27,27,27,2021-04-21,4599.4664111812435,0.09002090493273032,0.32416832780055604,2021-04-21,752,1694,3755,3575,6018,5315,1906,1281,1091,484,476,660
28,28,28,2021-04-22,4102.179733437867,0.10361797252445833,0.3200544848362908,2021-04-22,937,1634,4058,3946,6905,6123,2236,1236,1380,465,529,819
29,29,29,2021-04-23,4343.358908780902,0.09282952563258952,0.3274656053830579,2021-04-23,1000,333,4632,4421,7669,6963,2629,1395,1472,492,667,898
30,30,30,2021-04-24,3926.149544534413,0.11584333322412167,0.3324233635879306,2021-04-24,805,217,3094,2966,5282,4832,1776,1202,1206,430,466,580
